                                          POR        JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
24028,SCOTTSBLUFF,NE                  ,189301-201512,-33,-46,-27,-8,12,30,35,30,14,-6,-21,-42,-46
24032,VALENTINE,NE                    ,194801-201512,-30,-31,-29,3,18,30,38,34,17,-1,-22,-39,-39
24121,ELKO,NV                         ,188802-201512,-43,-37,-15,-2,10,12,28,20,9,0,-16,-40,-43
23154,ELY,NV                          ,189301-201512,-27,-30,-13,-5,7,18,28,24,15,-3,-20,-29,-30
23169,LAS VEGAS,NV                    ,194810-201512,8,16,23,31,40,48,60,56,46,26,21,11,8
23185,RENO,NV                         ,193703-201512,-16,-16,0,13,18,25,33,24,20,8,1,-16,-16
24128,WINNEMUCCA,NV                   ,187707-201512,-36,-28,-3,6,10,23,29,26,12,-2,-10,-37,-37
14745,CONCORD,NH                      ,193904-201512,-33,-37,-16,8,21,26,33,29,20,10,-5,-22,-37
14755,MT. WASHINGTON,NH               ,194802-201512,-46,-42,-38,-20,-2,13,24,20,9,-2,-20,-41,-46
93730,ATLANTIC CITY,NJ                ,195807-201512,-10,-11,2,12,25,37,42,40,32,20,10,-2,-11
14734,NEWARK,NJ                       ,189301-201512,-10,-9,3,13,33,41,49,45,34,25,15,-13,-13
23050,ALBUQUERQUE,NM                  ,193103-201512,-17,-7,8,18,28,40,52,50,35,21,-7,-7,-17
23051,CLAYTON,NM                      ,189602-201512,-21,-18,-11,7,20,31,40,42,26,7,-10,-14,-21
23009,ROSWELL,NM                      ,194901-201512,-15,-11,9,23,34,47,56,54,40,14,4,-8,-15
14735,ALBANY,NY                       ,193806-201512,-28,-22,-21,10,26,35,40,34,24,16,-11,-22,-28
04725,BINGHAMTON,NY                   ,195106-201512,-20,-15,-7,9,25,33,39,37,25,17,3,-18,-20
14733,BUFFALO,NY                      ,193805-201512,-16,-20,-7,12,26,35,43,38,31,20,7,-10,-20
04781,ISLIP,NY                        ,198401-201512,-7,1,5,23,32,42,50,45,38,28,11,5,-7
14768,ROCHESTER,NY                    ,192601-201512,-17,-22,-9,13,26,35,42,36,28,20,5,-16,-22
14771,SYRACUSE,NY                     ,193805-201512,-26,-26,-16,9,25,34,44,38,25,18,4,-26,-26
03812,ASHEVILLE,NC                    ,194601-201512,-16,-2,2,20,27,35,44,42,28,16,-2,-7,-16
93729,CAPE HATTERAS,NC                ,195703-201512,6,12,19,26,39,44,54,56,45,32,22,12,6
13881,CHARLOTTE,NC                    ,193907-201512,-5,5,4,21,32,45,53,50,39,24,11,2,-5
13723,GREENSBORO-WNSTN-SALM-HGHPT,NC  ,192811-201512,-8,-4,5,21,32,42,48,45,35,20,10,0,-8
13722,RALEIGH,NC                      ,194406-201512,-9,0,11,23,29,38,48,46,37,19,11,4,-9
13748,WILMINGTON,NC                   ,194801-201512,5,11,9,29,35,48,55,55,44,27,16,0,0
24011,BISMARCK,ND                     ,194801-201512,-44,-43,-31,-12,15,30,35,33,11,-10,-30,-43,-44
14914,FARGO,ND                        ,189106-201512,-36,-39,-34,-7,17,30,36,31,19,5,-28,-32,-39
14916,GRAND FORKS,ND                  ,194809-201512,-43,-40,-29,-8,5,30,30,31,20,6,-31,-32,-43
94014,WILLISTON,ND                    ,189401-201512,-42,-50,-35,-15,10,26,34,32,13,-9,-27,-50,-50
14895,AKRON,OH                        ,194807-201512,-25,-13,-3,10,24,32,43,41,32,20,-1,-16,-25
